game_id,side,speed,num_moves,result,panic_score,time_per_move,capture_rate,sacrifice_rate,check_rate,early_aggression,castle_move,piece_activity,avg_material_diff,gambit_tendency,sharp_opening,decisive_game,opening_name,opening_eco,status,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,gmm_prob_cluster_0,gmm_prob_cluster_1
ILh7x5lK,black,bullet,62,1,2.3720238095238093,70.56666666666666,0.4516129032258064,0.2580645161290322,0.0967741935483871,2,5.0,7,3.645161290322581,0,0,1,Modern Defense,B06,resign,1,0,-1,0,1.0,2.201499331099633e-30
IyFe2k8U,black,blitz,96,1,0.4622395833333332,231.0212765957447,0.2083333333333333,0.0208333333333333,0.0416666666666666,0,7.0,7,0.5625,0,0,1,"English Opening: Symmetrical Variation, Botvinnik System",A36,resign,1,1,-1,0,2.109854575655457e-13,0.9999999999997904
FdVI4HR4,black,blitz,60,1,0.6666666666666666,195.31034482758625,0.1666666666666666,0.0666666666666666,0.0666666666666666,2,13.0,5,0.5333333333333333,1,0,1,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",D00,resign,0,1,-1,1,0.0,1.0
NOH9m1vV,black,bullet,43,-1,5.047619047619048,74.28571428571429,0.238095238095238,0.0476190476190476,0.0476190476190476,2,4.0,6,0.7619047619047619,0,0,1,Queen's Pawn Game: Modern Defense,A40,resign,1,0,-1,0,1.0,5.5621435957975584e-36
DlnKVdID,black,bullet,82,1,1.8225446428571428,99.025,0.2195121951219512,0.1219512195121951,0.024390243902439,0,5.0,5,0.1951219512195122,0,0,1,Bird Opening,A02,resign,1,0,-1,0,1.0,9.5806597329788e-25
R3QuS4LL,white,bullet,65,1,1.4345238095238095,64.09375,0.2121212121212121,0.0,0.0303030303030303,2,4.0,6,0.696969696969697,0,0,1,Ruy Lopez: Fianchetto Defense,C60,resign,1,0,-1,0,1.0,1.3283397266716477e-22
U4XRlo1O,black,bullet,140,1,0.7481060606060606,83.02898550724638,0.2142857142857142,0.1,0.1428571428571428,7,12.0,6,2.3714285714285714,0,0,1,"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation",B00,mate,1,0,-1,0,1.0,6.649623476276999e-24
CjNfGKGP,white,bullet,107,1,0.8395161290322581,86.66037735849056,0.2222222222222222,0.0185185185185185,0.037037037037037,3,9.0,7,0.7407407407407407,0,1,1,Four Knights Game: Scotch Variation Accepted,C47,resign,1,1,-1,0,0.0,1.0
XtuFvvee,black,bullet,90,1,2.677777777777778,66.0909090909091,0.2444444444444444,0.0888888888888888,0.0666666666666666,1,4.0,7,0.8444444444444444,0,0,1,Zukertort Opening: Kingside Fianchetto,A04,resign,1,0,-1,0,1.0,2.264096716494203e-24
lc8fR5aZ,white,bullet,53,1,7.863636363636364,70.3076923076923,0.2592592592592592,0.037037037037037,0.037037037037037,2,4.0,6,0.925925925925926,0,0,1,King's Indian Attack,A07,resign,1,0,-1,0,1.0,8.570971388353853e-61
