PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ThemeList
0OGuy,r1b1r1k1/ppp3pp/8/4Q3/3R4/P7/2P3PP/5RK1 b - - 0 20,e8e5 d4d8 e5e8 d8e8,643,94,96,352,endgame mate mateIn2 short,https://lichess.org/Mg4D5ftK/black#40,,"['endgame', 'mate', 'mateIn2', 'short']"
4Z1iy,5k2/5pp1/2p3p1/2PPr3/p1p5/P4P1P/1P2R1P1/5K2 b - - 0 35,e5e2 f1e2 c6d5 e2e3,1692,75,94,9908,crushing defensiveMove endgame short,https://lichess.org/1PSkzl29/black#70,,"['crushing', 'defensiveMove', 'endgame', 'short']"
51eRP,2r2rk1/1p2pp2/p2p2pQ/3P4/5R2/2P3RP/P1q3P1/7K b - - 3 25,c2c1 h1h2 c1f4 h6f4,966,93,96,297,advantage endgame short,https://lichess.org/OgEGlIsx/black#50,,"['advantage', 'endgame', 'short']"
1307y,8/8/2k5/P2p4/4pp2/1NK5/8/8 w - - 1 52,c3b4 f4f3 b3d2 f3f2 d2f1 d5d4 b4c4 e4e3 c4d3 c6b5 f1g3 b5a5,2133,92,80,27,advancedPawn crushing endgame knightEndgame quietMove veryLong,https://lichess.org/k1iVlvop#103,,"['advancedPawn', 'crushing', 'endgame', 'knightEndgame', 'quietMove', 'veryLong']"
23Yuw,7k/1p4pp/p7/2R2p2/1P2p3/6PP/5PK1/3r4 b - - 1 35,d1b1 c5c8,517,90,44,43,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/yzA5KO1n/black#70,,"['backRankMate', 'endgame', 'mate', 'mateIn1', 'oneMove', 'rookEndgame']"
4a0kk,rn2k2r/pp3pp1/2p1p1p1/3p4/2PP2n1/1QNBP1qP/PP4P1/R1B2K1R w kq - 2 13,b3b7 g3f2,979,100,96,675,mate mateIn1 middlegame oneMove,https://lichess.org/ro8pL091#25,Slav_Defense Slav_Defense_Quiet_Variation,"['mate', 'mateIn1', 'middlegame', 'oneMove']"
4fw71,5rkR/p7/1p1q2P1/2n3Q1/8/7P/P4r2/2R3K1 b - - 1 32,g8h8 g5h6 h8g8 h6h7,1361,78,88,583,endgame mate mateIn2 short,https://lichess.org/0MgpDrqi/black#64,,"['endgame', 'mate', 'mateIn2', 'short']"
1T33a,r5k1/p1Q2p2/1p2p2p/3bB1p1/2P5/4q1P1/P1P4P/1K1R4 b - - 2 22,d5f3 d1d8 a8d8 c7d8 g8h7 d8h8 h7g6 h8f6 g6h5 f6f7 h5g4 f7e6,2180,113,90,33,crushing deflection endgame veryLong,https://lichess.org/xJ1heNhZ/black#44,,"['crushing', 'deflection', 'endgame', 'veryLong']"
3vv01,r2q3r/ppp3Qp/5n2/2b1p3/3nP2P/3P2k1/PPP3P1/RNB1K2R b KQ - 0 14,f6g4 h1h3 g3g2 g7g4,1227,75,97,2636,deflection mate mateIn2 middlegame short,https://lichess.org/6wU5ATWY/black#28,Bird_Opening Bird_Opening_Froms_Gambit,"['deflection', 'mate', 'mateIn2', 'middlegame', 'short']"
1RU6J,r1b2rk1/ppqn1ppp/2pb1n2/3p2B1/3P4/2N1PN2/PPQ1BPPP/R4RK1 w - - 4 11,c3b5 c6b5 c2c7 d6c7,1613,75,95,5542,advantage middlegame short,https://lichess.org/rYNOpl5i#21,Queens_Gambit_Declined Queens_Gambit_Declined_Orthodox_Defense,"['advantage', 'middlegame', 'short']"
